"path","bytes","sha256","classification","lineage","duplicate_group","proposed_name","proposed_destination","disposition"
"scripts/ci/Invoke-CommunicationConvergenceCI.ps1","2780","67ADFD76A4C11EB7BE9766F65BE617CA3F829E1FB9388E7F4BB704BAD92DB479","SUPPORT","origin/main baseline","","Invoke-CommunicationConvergenceCI.ps1","scripts/ci/Invoke-CommunicationConvergenceCI.ps1","PRESERVE_IN_PLACE"
"scripts/governance/New-CommunicationConvergenceInventory.ps1","6342","1BEE96717366FE0B549136416F9108DC163842D98E9390514A2064333D65CB63","SUPPORT","origin/main baseline","","New-CommunicationConvergenceInventory.ps1","scripts/governance/New-CommunicationConvergenceInventory.ps1","PRESERVE_IN_PLACE"
"scripts/windows/install-dcse-communication-worker.ps1","3487","A4ACC7EA556FFA0F0125C9A87636764A68AD6778370C39158CC10C5CC2E1EE3C","ACTIVE","PR 15 / chatgpt/v7-foundation-runtime-compiler","","install-dcse-communication-worker.ps1","scripts/windows/install-dcse-communication-worker.ps1","PRESERVE_IN_PLACE"
"scripts/windows/Invoke-DCSECommunicationOperationalGate001.ps1","6930","913B1A62E0ACBFA751F26433BE62E934ED41D9DD24E344C2044F45A49ED30060","ARCHIVE","PR 15 / chatgpt/v7-foundation-runtime-compiler","","Invoke-DCSECommunicationOperationalGate001.ps1","scripts/windows/Invoke-DCSECommunicationOperationalGate001.ps1","PRESERVE; reference from convergence record; do not execute post-Gate-001"
"supabase/decommission/v7-worker-auth/index.ts","570","4AE74D930B527C8D5812652332E218CF4A148CE7D1CF8ED895C9F306E19B21BB","ACTIVE","CR-SEC-001 governed decommission payload","","index.ts","supabase/decommission/v7-worker-auth/index.ts","PRESERVE_IN_PLACE"
"supabase/functions/v7-result-bridge/index.ts","3411","1FBD75BF4296A309D0FAB17EA7E06779CD09CCF8F9D5DC90D191A70E5DFB7380","ACTIVE","Bounded import from PR 14; reconciled against staging","","index.ts","supabase/functions/v7-result-bridge/index.ts","PRESERVE_IN_PLACE"
"supabase/functions/v7-worker-token/index.ts","3411","32E3E5249984D480B847541863FE3BD681CD909F94495BDFF286B64B760F00AA","ACTIVE","Bounded import from PR 14; reconciled against staging","","index.ts","supabase/functions/v7-worker-token/index.ts","PRESERVE_IN_PLACE"
"supabase/migrations/20260716190000_vow_go_application_support_v1.sql","11122","6A27BBBF8119DF21DEF80344CA0E7A53AC1A8809126A60DE7FF810DC68D82BAE","ACTIVE","origin/main baseline","","20260716190000_vow_go_application_support_v1.sql","supabase/migrations/20260716190000_vow_go_application_support_v1.sql","PRESERVE_IN_PLACE"
"supabase/migrations/20260727223056_v7_agent_worker_communication_system.sql","28889","996208E7C29672DFDD6F09524BF063584D402868900748AA40AD343303C074A5","ACTIVE","Bounded import from PR 14; reconciled against staging","","20260727223056_v7_agent_worker_communication_system.sql","supabase/migrations/20260727223056_v7_agent_worker_communication_system.sql","PRESERVE_IN_PLACE"
"supabase/migrations/20260727223121_v7_result_bridge_and_dispatcher.sql","8156","61E7664F2B652F57E1135A6C4213E000C078BBB20B0F8D700CA50FC50993286A","ACTIVE","Bounded import from PR 14; reconciled against staging","","20260727223121_v7_result_bridge_and_dispatcher.sql","supabase/migrations/20260727223121_v7_result_bridge_and_dispatcher.sql","PRESERVE_IN_PLACE"
"supabase/migrations/20260727231155_v7_restricted_rpc_and_rls_hardening.sql","19498","7A07A31C18330676EBF96B8B26ADDE46C94E2085215A3B9B674FD6FC7762CA62","ACTIVE","Bounded import from PR 14; reconciled against staging","","20260727231155_v7_restricted_rpc_and_rls_hardening.sql","supabase/migrations/20260727231155_v7_restricted_rpc_and_rls_hardening.sql","PRESERVE_IN_PLACE"
"supabase/migrations/20260727231413_v7_capture_prod_hotfixes_and_search_path.sql","3634","A4411E4AE7A92ADB15AB21FD18863D1D7B56D1E3F82DEB89130BD1E7F6FDC737","ACTIVE","Bounded import from PR 14; reconciled against staging","","20260727231413_v7_capture_prod_hotfixes_and_search_path.sql","supabase/migrations/20260727231413_v7_capture_prod_hotfixes_and_search_path.sql","PRESERVE_IN_PLACE"
"supabase/migrations/20260727233604_v7_o1_jwt_verified_worker_identity.sql","9154","F19850C3A8A2B4C692563605CC23B1AB95FEDA78E8126C5C5723B694D20B4531","ACTIVE","Bounded import from PR 14; reconciled against staging","","20260727233604_v7_o1_jwt_verified_worker_identity.sql","supabase/migrations/20260727233604_v7_o1_jwt_verified_worker_identity.sql","PRESERVE_IN_PLACE"
"supabase/migrations/20260727233807_v7_o1_worker_api_return_claim_id.sql","2824","FF6A60B2B5CB43BA18410341F5C8186635E62237EEDEE8FD7C411F4E7EF5A358","ACTIVE","Bounded import from PR 14; reconciled against staging","","20260727233807_v7_o1_worker_api_return_claim_id.sql","supabase/migrations/20260727233807_v7_o1_worker_api_return_claim_id.sql","PRESERVE_IN_PLACE"
"supabase/migrations/20260727233927_v7_o1_worker_enrollment_credentials.sql","3524","A1217AD20F693E8668780F1E3833B193DA53A1C3EE28F315D1EB45B47EB43A41","ACTIVE","Bounded import from PR 14; reconciled against staging","","20260727233927_v7_o1_worker_enrollment_credentials.sql","supabase/migrations/20260727233927_v7_o1_worker_enrollment_credentials.sql","PRESERVE_IN_PLACE"
"supabase/migrations/20260727234234_v7_o1_public_enrollment_rpc_bridge.sql","1157","46FE4485C07F70E24C0D63807BC8120A9911A7D8E9AFB3DBC5C735539325FE3F","ACTIVE","Bounded import from PR 14; reconciled against staging","","20260727234234_v7_o1_public_enrollment_rpc_bridge.sql","supabase/migrations/20260727234234_v7_o1_public_enrollment_rpc_bridge.sql","PRESERVE_IN_PLACE"
