"relative_path","classification","lane","lineage_hint","bytes","last_write_time","sha256"
"artifacts\phase2a2_patch_cycle_1\phase2a2_patch_cycle_1_report.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1851","2026-05-11T22:38:19","C61D1E7889035AFFE75F53A40A89F5BD29D72526BF299E3A220431D43224DB6E"
"artifacts\phase2a2_patch_cycle_2\ag_self_check_report.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","596","2026-05-11T22:48:31","2BD70054B1238B555B78E3A542930335931028EAE6397DCB371D4396C343F71B"
"artifacts\phase2a2_patch_cycle_2\ag_self_check_report.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1583","2026-05-11T22:48:28","34A484E541B1A98F93D8F083A7AE6FBFBCDAE871EE0FDBEFE29835F63B40A083"
"artifacts\phase2a2_patch_cycle_2\phase2a2_patch_cycle_2_file_manifest.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","816","2026-05-11T22:50:46","ED3F584797CB8481BB1690673814D99B184E913F4EF0FDDF41FC5DE23D38BEEC"
"artifacts\phase2a2_patch_cycle_2\phase2a2_patch_cycle_2_report.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","794","2026-05-11T22:48:23","E265A13F3F8E7A49BFDC1EFBBD66596B02B801C04E7C6BDC300E5ECB9C85622C"
"artifacts\phase2a2_patch_cycle_2\phase2a2_patch_cycle_2_report.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1443","2026-05-11T22:47:58","3EDB087829318B061CE844EBE69746008F8FDE60873F3DF179BF51435EDD9036"
"artifacts\phase2a2_patch_cycle_3\ag_self_check_report.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","413","2026-05-11T22:59:40","39474575481A657F54A1517CE825D6EAFA4C7962D12D2B2FD0AED7E85822376A"
"artifacts\phase2a2_patch_cycle_3\ag_self_check_report.md","REVIEW","DCSE-CP","Prior staged review/artifact lineage","1170","2026-05-11T22:59:39","19E4C20303527F0B195A0547B1C7B2F2BE75BEA56F355E1C8F5115C011D6391E"
"artifacts\phase2a2_patch_cycle_3\phase2a2_patch_cycle_3_file_manifest.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","857","2026-05-11T22:59:58","CAF23E649E808D71BA0AF1F8696755D67C398188BB6D94AE73AAE7B9F5355E52"
"artifacts\phase2a2_patch_cycle_3\phase2a2_patch_cycle_3_report.json","REVIEW","DCSE-CP","Prior staged review/artifact lineage","759","2026-05-11T22:59:35","C0434AE9C9776028E6A99A37AFB945B552E7D085581D0EE94651C06A4FA4A7BC"
